image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000005001.png,jpeg_q30,single_scale,1.0,1,10.4334,12.7627,1.0
000000005037.png,none,single_scale,1.0,1,10.1681,10.1681,1.0
000000005037.png,center_crop_0.5,single_scale,0.5,0,10.1681,6.1409,1.0
000000005037.png,center_crop_0.75,single_scale,0.53125,0,10.1681,7.1805,1.0
000000005037.png,random_crop_0.5,single_scale,0.5,0,10.1681,7.4011,1.0
000000005037.png,jpeg_q30,single_scale,1.0,1,10.1681,12.9309,1.0
000000005060.png,none,single_scale,1.0,1,10.207,10.207,1.0
000000005060.png,center_crop_0.5,single_scale,0.53125,0,10.207,6.8314,1.0
000000005060.png,center_crop_0.75,single_scale,0.5,0,10.207,7.8693,1.0
000000005060.png,random_crop_0.5,single_scale,0.46875,0,10.207,7.4578,1.0
000000005060.png,jpeg_q30,single_scale,1.0,1,10.207,12.9956,1.0
000000036494.png,none,single_scale,1.0,1,10.2688,10.2688,1.0
000000036494.png,center_crop_0.5,single_scale,0.5,0,10.2688,6.2334,1.0
000000036494.png,center_crop_0.75,single_scale,0.53125,0,10.2688,7.2314,1.0
000000036494.png,random_crop_0.5,single_scale,0.53125,0,10.2688,6.8598,1.0
000000036494.png,jpeg_q30,single_scale,1.0,1,10.2688,12.9254,1.0
000000036539.png,none,single_scale,1.0,1,10.0661,10.0661,1.0
000000036539.png,center_crop_0.5,single_scale,0.5,0,10.0661,6.7676,1.0
000000036539.png,center_crop_0.75,single_scale,0.53125,0,10.0661,7.6664,1.0
000000036539.png,random_crop_0.5,single_scale,0.46875,0,10.0661,7.0941,1.0
000000036539.png,jpeg_q30,single_scale,1.0,1,10.0661,12.9234,1.0
000000036660.png,none,single_scale,1.0,1,10.4294,10.4294,1.0
000000036660.png,center_crop_0.5,single_scale,0.5,0,10.4294,7.6298,1.0
000000036660.png,center_crop_0.75,single_scale,0.53125,0,10.4294,8.8833,1.0
000000036660.png,random_crop_0.5,single_scale,0.59375,0,10.4294,7.6225,1.0
000000036660.png,jpeg_q30,single_scale,0.96875,0,10.4294,13.0928,1.0
000000036678.png,none,single_scale,1.0,1,9.9917,9.9917,1.0
000000036678.png,center_crop_0.5,single_scale,0.5,0,9.9917,7.1516,1.0
000000036678.png,center_crop_0.75,single_scale,0.53125,0,9.9917,8.1173,1.0
000000036678.png,random_crop_0.5,single_scale,0.5,0,9.9917,6.7282,1.0
000000036678.png,jpeg_q30,single_scale,1.0,1,9.9917,12.9925,1.0
000000036844.png,none,single_scale,1.0,1,10.4331,10.4331,1.0
000000036844.png,center_crop_0.5,single_scale,0.5,0,10.4331,6.9741,1.0
000000036844.png,center_crop_0.75,single_scale,0.5,0,10.4331,7.7316,1.0
000000036844.png,random_crop_0.5,single_scale,0.53125,0,10.4331,7.2634,1.0
000000036844.png,jpeg_q30,single_scale,1.0,1,10.4331,12.9596,1.0
000000036861.png,none,single_scale,1.0,1,10.37,10.37,1.0
000000036861.png,center_crop_0.5,single_scale,0.5,0,10.37,7.5255,1.0
000000036861.png,center_crop_0.75,single_scale,0.53125,0,10.37,8.6769,1.0
000000036861.png,random_crop_0.5,single_scale,0.5,0,10.37,7.3232,1.0
000000036861.png,jpeg_q30,single_scale,1.0,1,10.37,13.0875,1.0
000000036936.png,none,single_scale,1.0,1,10.2022,10.2022,1.0
000000036936.png,center_crop_0.5,single_scale,0.5,0,10.2022,7.2423,1.0
000000036936.png,center_crop_0.75,single_scale,0.53125,0,10.2022,7.9365,1.0
000000036936.png,random_crop_0.5,single_scale,0.40625,0,10.2022,7.2583,1.0
000000036936.png,jpeg_q30,single_scale,1.0,1,10.2022,12.9275,1.0
000000037670.png,none,single_scale,1.0,1,9.5575,9.5575,1.0
000000037670.png,center_crop_0.5,single_scale,0.5,0,9.5575,6.9812,1.0
000000037670.png,center_crop_0.75,single_scale,0.53125,0,9.5575,8.3731,1.0
000000037670.png,random_crop_0.5,single_scale,0.5,0,9.5575,9.1977,1.0
000000037670.png,jpeg_q30,single_scale,1.0,1,9.5575,12.8643,1.0
000000037689.png,none,single_scale,1.0,1,10.2591,10.2591,1.0
000000037689.png,center_crop_0.5,single_scale,0.5,0,10.2591,7.1742,1.0
000000037689.png,center_crop_0.75,single_scale,0.53125,0,10.2591,8.4744,1.0
000000037689.png,random_crop_0.5,single_scale,0.53125,0,10.2591,8.4752,1.0
000000037689.png,jpeg_q30,single_scale,1.0,1,10.2591,12.9456,1.0
000000037740.png,none,single_scale,1.0,1,10.0809,10.0809,1.0
000000037740.png,center_crop_0.5,single_scale,0.5,0,10.0809,7.2428,1.0
000000037740.png,center_crop_0.75,single_scale,0.5,0,10.0809,8.4734,1.0
000000037740.png,random_crop_0.5,single_scale,0.46875,0,10.0809,7.5948,1.0
000000037740.png,jpeg_q30,single_scale,1.0,1,10.0809,12.926,1.0
000000037751.png,none,single_scale,1.0,1,10.2597,10.2597,1.0
000000037751.png,center_crop_0.5,single_scale,0.5,0,10.2597,7.1177,1.0
000000037751.png,center_crop_0.75,single_scale,0.53125,0,10.2597,8.7175,1.0
000000037751.png,random_crop_0.5,single_scale,0.5,0,10.2597,6.925,1.0
000000037751.png,jpeg_q30,single_scale,1.0,1,10.2597,12.9627,1.0
000000037777.png,none,single_scale,1.0,1,10.0744,10.0744,1.0
000000037777.png,center_crop_0.5,single_scale,0.5,0,10.0744,6.7251,1.0
000000037777.png,center_crop_0.75,single_scale,0.53125,0,10.0744,7.6465,1.0
000000037777.png,random_crop_0.5,single_scale,0.4375,0,10.0744,7.8195,1.0
000000037777.png,jpeg_q30,single_scale,1.0,1,10.0744,12.974,1.0
000000037988.png,none,single_scale,1.0,1,9.7258,9.7258,1.0
000000037988.png,center_crop_0.5,single_scale,0.5625,0,9.7258,7.1095,1.0
000000037988.png,center_crop_0.75,single_scale,0.53125,0,9.7258,8.7241,1.0
000000037988.png,random_crop_0.5,single_scale,0.5,0,9.7258,8.4242,1.0
000000037988.png,jpeg_q30,single_scale,1.0,1,9.7258,12.9228,1.0
000000038048.png,none,single_scale,1.0,1,10.6498,10.6498,1.0
000000038048.png,center_crop_0.5,single_scale,0.5,0,10.6498,6.9598,1.0
000000038048.png,center_crop_0.75,single_scale,0.53125,0,10.6498,8.531,1.0
000000038048.png,random_crop_0.5,single_scale,0.59375,0,10.6498,7.046,1.0
000000038048.png,jpeg_q30,single_scale,1.0,1,10.6498,12.9743,1.0
000000038070.png,none,single_scale,1.0,1,9.8513,9.8513,1.0
000000038070.png,center_crop_0.5,single_scale,0.5,0,9.8513,6.8132,1.0
000000038070.png,center_crop_0.75,single_scale,0.53125,0,9.8513,7.9232,1.0
000000038070.png,random_crop_0.5,single_scale,0.5,0,9.8513,7.2903,1.0
000000038070.png,jpeg_q30,single_scale,1.0,1,9.8513,13.0282,1.0
000000038118.png,none,single_scale,1.0,1,10.3627,10.3627,1.0
000000038118.png,center_crop_0.5,single_scale,0.5,0,10.3627,7.5697,1.0
000000038118.png,center_crop_0.75,single_scale,0.53125,0,10.3627,8.985,1.0
000000038118.png,random_crop_0.5,single_scale,0.5625,0,10.3627,8.9046,1.0
000000038118.png,jpeg_q30,single_scale,1.0,1,10.3627,12.9896,1.0
000000038210.png,none,single_scale,1.0,1,10.2594,10.2594,1.0
000000038210.png,center_crop_0.5,single_scale,0.5,0,10.2594,7.1115,1.0
000000038210.png,center_crop_0.75,single_scale,0.53125,0,10.2594,8.1328,1.0
000000038210.png,random_crop_0.5,single_scale,0.59375,0,10.2594,7.2243,1.0
000000038210.png,jpeg_q30,single_scale,1.0,1,10.2594,12.8961,1.0
000000038576.png,none,single_scale,1.0,1,10.4018,10.4018,1.0
000000038576.png,center_crop_0.5,single_scale,0.5,0,10.4018,6.4456,1.0
000000038576.png,center_crop_0.75,single_scale,0.53125,0,10.4018,7.203,1.0
000000038576.png,random_crop_0.5,single_scale,0.53125,0,10.4018,6.307,1.0
000000038576.png,jpeg_q30,single_scale,1.0,1,10.4018,13.0101,1.0
000000038678.png,none,single_scale,1.0,1,10.2707,10.2707,1.0
000000038678.png,center_crop_0.5,single_scale,0.5,0,10.2707,6.7196,1.0
000000038678.png,center_crop_0.75,single_scale,0.53125,0,10.2707,7.6622,1.0
000000038678.png,random_crop_0.5,single_scale,0.5,0,10.2707,6.7893,1.0
000000038678.png,jpeg_q30,single_scale,1.0,1,10.2707,13.0108,1.0
000000038825.png,none,single_scale,1.0,1,9.9185,9.9185,1.0
000000038825.png,center_crop_0.5,single_scale,0.5,0,9.9185,6.6025,1.0
000000038825.png,center_crop_0.75,single_scale,0.53125,0,9.9185,7.1256,1.0
000000038825.png,random_crop_0.5,single_scale,0.5625,0,9.9185,7.7671,1.0
