scheme,code_mode,scenario,attack,decode_method,mean_bit_accuracy,mean_payload_accuracy,payload_success_rate,mean_composite_psnr,num_source_rows
full_material_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0.447917,0.416667,0.000000,40.4867,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q70,must_mer_resize,0.291667,0.458333,0.000000,40.4867,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.302083,0.500000,0.000000,40.4867,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,none,global_full_canvas,0.479167,0.458333,0.000000,40.4867,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,40.4867,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,40.4867,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0.000000,0.458333,0.000000,40.4867,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,resize_0.5_jpeg70,must_mer_resize,0.322917,0.541667,0.000000,40.4867,3
full_material_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0.302083,0.416667,0.000000,40.4867,3
full_material_s3.0,rep4_adjacent_8bit,two_sources_downsize,jpeg_q50,global_full_canvas,0.000000,0.437500,0.000000,38.8411,2
full_material_s3.0,rep4_adjacent_8bit,two_sources_downsize,jpeg_q50,must_mer_resize,0.296875,0.687500,0.000000,38.8411,2
full_material_s3.0,rep4_adjacent_8bit,two_sources_downsize,jpeg_q50,oracle_box_raw,0.312500,0.687500,0.000000,38.8411,2
full_material_s3.0,rep4_adjacent_8bit,two_sources_downsize,jpeg_q70,global_full_canvas,0.500000,0.437500,0.000000,38.8411,2
full_material_s3.0,rep4_adjacent_8bit,two_sources_downsize,jpeg_q70,must_mer_resize,0.656250,0.812500,0.000000,38.8411,2
full_material_s3.0,rep4_adjacent_8bit,two_sources_downsize,jpeg_q70,oracle_box_raw,0.656250,0.812500,0.000000,38.8411,2
full_material_s3.0,rep4_adjacent_8bit,two_sources_downsize,none,global_full_canvas,0.000000,0.437500,0.000000,38.8411,2
full_material_s3.0,rep4_adjacent_8bit,two_sources_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,38.8411,2
full_material_s3.0,rep4_adjacent_8bit,two_sources_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,38.8411,2
full_material_s3.0,rep4_adjacent_8bit,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,0.000000,0.437500,0.000000,38.8411,2
full_material_s3.0,rep4_adjacent_8bit,two_sources_downsize,resize_0.5_jpeg70,must_mer_resize,0.640625,0.750000,0.000000,38.8411,2
full_material_s3.0,rep4_adjacent_8bit,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,0.609375,0.687500,0.000000,38.8411,2
single_center50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.000000,0.458333,0.000000,40.3374,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q50,must_mer_resize,0.145833,0.458333,0.000000,40.3374,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.145833,0.458333,0.000000,40.3374,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.000000,0.458333,0.000000,40.3374,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q70,must_mer_resize,0.385417,0.541667,0.000000,40.3374,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.406250,0.625000,0.000000,40.3374,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,none,global_full_canvas,0.000000,0.458333,0.000000,40.3374,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,none,must_mer_resize,1.000000,1.000000,1.000000,40.3374,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,none,oracle_box_raw,1.000000,1.000000,1.000000,40.3374,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.000000,0.458333,0.000000,40.3374,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,resize_0.5_jpeg70,must_mer_resize,0.364583,0.583333,0.000000,40.3374,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.354167,0.541667,0.000000,40.3374,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.500000,0.500000,0.000000,43.3343,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,0.000000,0.458333,0.000000,43.3343,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.000000,0.458333,0.000000,43.3343,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0.468750,0.458333,0.000000,43.3343,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q70,must_mer_resize,0.416667,0.416667,0.000000,43.3343,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.312500,0.500000,0.000000,43.3343,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,none,global_full_canvas,0.489583,0.458333,0.000000,43.3343,3
single_center50_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,43.3343,3
