image,scaling_w,attack,message,predicted,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
000000205647.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1749,26.2698,33049,0
000000205647.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.1749,22.8523,34071,0
000000205647.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011011011101,0.875000,0,28.1749,22.8903,35501,0
000000205647.png,0.2500,center_crop_0.5,01000110001000101101011111111101,00000110001000101101011111111101,0.968750,0,28.1749,11.1649,56954,0
000000207306.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1666,28.1666,32874,0
000000207306.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.1666,28.8708,34887,0
000000207306.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.1666,28.0069,35024,0
000000207306.png,0.2500,jpeg_q20,01000110001000101101011111111101,01110110100000101101001011111101,0.812500,0,28.1666,27.4595,33336,0
000000207306.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1666,25.9479,32888,0
000000207306.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.1666,24.2707,33783,0
000000207306.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011011011111,0.843750,0,28.1666,24.2724,35424,0
000000207306.png,0.2500,center_crop_0.5,01000110001000101101011111111101,11000110001001101101011111011101,0.906250,0,28.1666,8.8076,65536,0
000000210299.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1606,28.1606,32674,0
000000210299.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110001000101101011111011111,0.906250,0,28.1606,28.7104,34075,0
000000210299.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.1606,27.8492,34538,0
000000210299.png,0.2500,jpeg_q20,01000110001000101101011111111101,00100110100000101101001011111111,0.781250,0,28.1606,27.4337,36380,0
000000210299.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1606,26.7559,32675,0
000000210299.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.1606,24.3849,33481,0
000000210299.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.1606,24.3846,35092,0
000000210299.png,0.2500,center_crop_0.5,01000110001000101101011111111101,00000110001001101101011111011101,0.906250,0,28.1606,10.5147,43752,0
000000219440.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2092,28.2092,32478,0
000000219440.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.2092,30.2939,36222,0
000000219440.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110000000101101011111111101,0.937500,0,28.2092,29.8420,35139,0
000000219440.png,0.2500,jpeg_q20,01000110001000101101011111111101,01110110000000101001011011111101,0.843750,0,28.2092,29.9787,31925,0
000000219440.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2092,28.4482,32399,0
000000219440.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.2092,27.2215,33627,0
000000219440.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,00100110100000101101011011111111,0.812500,0,28.2092,27.4013,35743,0
000000219440.png,0.2500,center_crop_0.5,01000110001000101101011111111101,01000110001001101101011111011101,0.937500,0,28.2092,11.3177,62598,0
000000230166.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1970,28.1970,32656,0
000000230166.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110001000101101011111111111,0.937500,0,28.1970,28.0031,35817,0
000000230166.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110001000101101011111011111,0.906250,0,28.1970,27.2746,36225,0
000000230166.png,0.2500,jpeg_q20,01000110001000101101011111111101,01100110000000101101011111111111,0.906250,0,28.1970,26.7807,35549,0
000000230166.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1970,26.7842,32832,0
000000230166.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.1970,24.7001,33981,0
000000230166.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011011011101,0.875000,0,28.1970,24.6297,36157,0
000000230166.png,0.2500,center_crop_0.5,01000110001000101101011111111101,01000110001001111101011111011101,0.906250,0,28.1970,12.2914,58309,0
000000249180.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1938,28.1938,32745,0
000000249180.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110000000101101011111111111,0.906250,0,28.1938,27.1692,35078,0
000000249180.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110001000101101011111011111,0.906250,0,28.1938,25.8538,38004,0
000000249180.png,0.2500,jpeg_q20,01000110001000101101011111111101,01100110100000101101011011111111,0.843750,0,28.1938,24.8644,36684,0
000000249180.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1938,23.2630,32780,0
000000249180.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111011101,0.937500,0,28.1938,21.0006,33760,0
000000249180.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011011011111,0.843750,0,28.1938,20.9468,35327,0
