image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000260657.png,none,single_scale,1.000000,1,10.3642,10.3642,1.0
000000260657.png,none,multi_scale,1.000000,1,10.3642,10.3642,1.00
000000260657.png,center_crop_0.5,single_scale,0.500000,0,10.3642,6.2740,1.0
000000260657.png,center_crop_0.5,multi_scale,1.000000,1,10.3642,6.2740,0.50
000000260657.png,center_crop_0.75,single_scale,0.562500,0,10.3642,6.8996,1.0
000000260657.png,center_crop_0.75,multi_scale,1.000000,1,10.3642,6.8996,0.75
000000260657.png,random_crop_0.5,single_scale,0.593750,0,10.3642,7.4279,1.0
000000260657.png,random_crop_0.5,multi_scale,0.750000,0,10.3642,7.4279,0.50
000000260657.png,jpeg_q30,single_scale,1.000000,1,10.3642,12.9241,1.0
000000260657.png,jpeg_q30,multi_scale,1.000000,1,10.3642,12.9241,1.00
000000262938.png,none,single_scale,1.000000,1,10.0849,10.0849,1.0
000000262938.png,none,multi_scale,1.000000,1,10.0849,10.0849,1.00
000000262938.png,center_crop_0.5,single_scale,0.500000,0,10.0849,6.1654,1.0
000000262938.png,center_crop_0.5,multi_scale,1.000000,1,10.0849,6.1654,0.50
000000262938.png,center_crop_0.75,single_scale,0.531250,0,10.0849,6.4216,1.0
000000262938.png,center_crop_0.75,multi_scale,1.000000,1,10.0849,6.4216,0.75
000000262938.png,random_crop_0.5,single_scale,0.500000,0,10.0849,6.4783,1.0
000000262938.png,random_crop_0.5,multi_scale,0.656250,0,10.0849,6.4783,0.50
000000262938.png,jpeg_q30,single_scale,1.000000,1,10.0849,12.9082,1.0
000000262938.png,jpeg_q30,multi_scale,1.000000,1,10.0849,12.9082,1.00
000000263299.png,none,single_scale,1.000000,1,10.2428,10.2428,1.0
000000263299.png,none,multi_scale,1.000000,1,10.2428,10.2428,1.00
000000263299.png,center_crop_0.5,single_scale,0.500000,0,10.2428,6.7579,1.0
000000263299.png,center_crop_0.5,multi_scale,1.000000,1,10.2428,6.7579,0.50
000000263299.png,center_crop_0.75,single_scale,0.531250,0,10.2428,7.8506,1.0
000000263299.png,center_crop_0.75,multi_scale,1.000000,1,10.2428,7.8506,0.75
000000263299.png,random_crop_0.5,single_scale,0.500000,0,10.2428,6.7452,1.0
000000263299.png,random_crop_0.5,multi_scale,0.781250,0,10.2428,6.7452,0.50
000000263299.png,jpeg_q30,single_scale,1.000000,1,10.2428,12.9166,1.0
000000263299.png,jpeg_q30,multi_scale,1.000000,1,10.2428,12.9166,1.00
000000319617.png,none,single_scale,1.000000,1,9.8478,9.8478,1.0
000000319617.png,none,multi_scale,1.000000,1,9.8478,9.8478,1.00
000000319617.png,center_crop_0.5,single_scale,0.500000,0,9.8478,6.6295,1.0
000000319617.png,center_crop_0.5,multi_scale,1.000000,1,9.8478,6.6295,0.50
000000319617.png,center_crop_0.75,single_scale,0.531250,0,9.8478,7.9073,1.0
000000319617.png,center_crop_0.75,multi_scale,1.000000,1,9.8478,7.9073,0.75
