image,mask_ratio,attack,bit_accuracy,message_success,psnr_watermarked,psnr_attacked
000000573258.png,0.5,none,1.000000,1,10.4953,10.4953
000000573258.png,0.5,center_crop_0.5,0.500000,0,10.4953,6.8874
000000573258.png,0.5,center_crop_0.75,0.750000,0,10.4953,7.5859
000000573258.png,0.5,random_crop_0.5,0.468750,0,10.4953,7.5287
000000573258.png,0.5,jpeg_q30,1.000000,1,10.4953,13.0114
000000575243.png,0.5,none,1.000000,1,10.4547,10.4547
000000575243.png,0.5,center_crop_0.5,0.500000,0,10.4547,6.5548
000000575243.png,0.5,center_crop_0.75,0.750000,0,10.4547,7.0751
000000575243.png,0.5,random_crop_0.5,0.500000,0,10.4547,6.5854
000000575243.png,0.5,jpeg_q30,1.000000,1,10.4547,12.8997
