image,mask_ratio,attack,bit_accuracy,message_success,psnr_watermarked,psnr_attacked
000000089648.png,0.6,random_crop_0.5,0.375000,0,9.3776,7.4485
000000089648.png,0.6,jpeg_q30,1.000000,1,9.3776,12.2411
000000089648.png,0.7,none,1.000000,1,8.6831,8.6831
000000089648.png,0.7,center_crop_0.5,0.500000,0,8.6831,6.9120
000000089648.png,0.7,center_crop_0.75,0.750000,0,8.6831,6.8301
000000089648.png,0.7,random_crop_0.5,0.468750,0,8.6831,7.1665
000000089648.png,0.7,jpeg_q30,1.000000,1,8.6831,11.5375
000000089648.png,0.8,none,1.000000,1,8.1332,8.1332
000000089648.png,0.8,center_crop_0.5,0.500000,0,8.1332,6.9120
000000089648.png,0.8,center_crop_0.75,0.750000,0,8.1332,6.8301
000000089648.png,0.8,random_crop_0.5,0.656250,0,8.1332,6.9632
000000089648.png,0.8,jpeg_q30,1.000000,1,8.1332,10.9513
000000089648.png,0.9,none,1.000000,1,7.6060,7.6060
000000089648.png,0.9,center_crop_0.5,0.500000,0,7.6060,6.9120
000000089648.png,0.9,center_crop_0.75,0.750000,0,7.6060,6.8301
000000089648.png,0.9,random_crop_0.5,0.593750,0,7.6060,7.2756
000000089648.png,0.9,jpeg_q30,1.000000,1,7.6060,10.4052
000000089648.png,1.0,none,1.000000,1,7.1159,7.1159
000000089648.png,1.0,center_crop_0.5,0.500000,0,7.1159,6.9120
000000089648.png,1.0,center_crop_0.75,0.750000,0,7.1159,6.8301
000000089648.png,1.0,random_crop_0.5,0.625000,0,7.1159,7.0183
000000089648.png,1.0,jpeg_q30,1.000000,1,7.1159,9.8776
000000092177.png,0.5,none,1.000000,1,10.3722,10.3722
000000092177.png,0.5,center_crop_0.5,0.500000,0,10.3722,5.8116
000000092177.png,0.5,center_crop_0.75,0.687500,0,10.3722,6.8926
000000092177.png,0.5,random_crop_0.5,0.562500,0,10.3722,6.5075
000000092177.png,0.5,jpeg_q30,1.000000,1,10.3722,13.0119
000000092177.png,0.6,none,1.000000,1,9.6265,9.6265
000000092177.png,0.6,center_crop_0.5,0.500000,0,9.6265,5.8116
000000092177.png,0.6,center_crop_0.75,0.750000,0,9.6265,6.6248
000000092177.png,0.6,random_crop_0.5,0.500000,0,9.6265,6.8547
000000092177.png,0.6,jpeg_q30,1.000000,1,9.6265,12.2229
000000092177.png,0.7,none,1.000000,1,8.9798,8.9798
000000092177.png,0.7,center_crop_0.5,0.500000,0,8.9798,5.8116
000000092177.png,0.7,center_crop_0.75,0.750000,0,8.9798,6.6248
000000092177.png,0.7,random_crop_0.5,0.500000,0,8.9798,6.4727
000000092177.png,0.7,jpeg_q30,1.000000,1,8.9798,11.5176
000000092177.png,0.8,none,1.000000,1,8.4865,8.4865
000000092177.png,0.8,center_crop_0.5,0.500000,0,8.4865,5.8116
000000092177.png,0.8,center_crop_0.75,0.750000,0,8.4865,6.6248
000000092177.png,0.8,random_crop_0.5,0.562500,0,8.4865,6.3621
000000092177.png,0.8,jpeg_q30,1.000000,1,8.4865,10.9809
000000092177.png,0.9,none,1.000000,1,7.9752,7.9752
000000092177.png,0.9,center_crop_0.5,0.500000,0,7.9752,5.8116
000000092177.png,0.9,center_crop_0.75,0.750000,0,7.9752,6.6248
000000092177.png,0.9,random_crop_0.5,0.468750,0,7.9752,6.3047
000000092177.png,0.9,jpeg_q30,1.000000,1,7.9752,10.4098
000000092177.png,1.0,none,1.000000,1,7.5309,7.5309
000000092177.png,1.0,center_crop_0.5,0.500000,0,7.5309,5.8116
000000092177.png,1.0,center_crop_0.75,0.750000,0,7.5309,6.6248
000000092177.png,1.0,random_crop_0.5,0.375000,0,7.5309,5.9633
000000092177.png,1.0,jpeg_q30,1.000000,1,7.5309,9.8927
000000098392.png,0.5,none,1.000000,1,10.3902,10.3902
000000098392.png,0.5,center_crop_0.5,0.500000,0,10.3902,7.0581
000000098392.png,0.5,center_crop_0.75,0.656250,0,10.3902,7.7206
000000098392.png,0.5,random_crop_0.5,0.500000,0,10.3902,6.7830
000000098392.png,0.5,jpeg_q30,1.000000,1,10.3902,12.9821
000000098392.png,0.6,none,1.000000,1,9.6083,9.6083
000000098392.png,0.6,center_crop_0.5,0.500000,0,9.6083,7.0581
000000098392.png,0.6,center_crop_0.75,0.812500,0,9.6083,7.3469
000000098392.png,0.6,random_crop_0.5,0.406250,0,9.6083,6.3260
000000098392.png,0.6,jpeg_q30,1.000000,1,9.6083,12.2040
000000098392.png,0.7,none,1.000000,1,8.9408,8.9408
000000098392.png,0.7,center_crop_0.5,0.500000,0,8.9408,7.0581
000000098392.png,0.7,center_crop_0.75,0.812500,0,8.9408,7.3469
000000098392.png,0.7,random_crop_0.5,0.500000,0,8.9408,6.8567
000000098392.png,0.7,jpeg_q30,1.000000,1,8.9408,11.5332
000000098392.png,0.8,none,1.000000,1,8.3890,8.3890
000000098392.png,0.8,center_crop_0.5,0.500000,0,8.3890,7.0581
000000098392.png,0.8,center_crop_0.75,0.812500,0,8.3890,7.3469
000000098392.png,0.8,random_crop_0.5,0.406250,0,8.3890,6.8458
000000098392.png,0.8,jpeg_q30,1.000000,1,8.3890,10.9475
000000098392.png,0.9,none,1.000000,1,7.8747,7.8747
000000098392.png,0.9,center_crop_0.5,0.500000,0,7.8747,7.0581
000000098392.png,0.9,center_crop_0.75,0.812500,0,7.8747,7.3469
000000098392.png,0.9,random_crop_0.5,0.562500,0,7.8747,6.6903
000000098392.png,0.9,jpeg_q30,1.000000,1,7.8747,10.4400
000000098392.png,1.0,none,1.000000,1,7.3756,7.3756
000000098392.png,1.0,center_crop_0.5,0.500000,0,7.3756,7.0581
000000098392.png,1.0,center_crop_0.75,0.812500,0,7.3756,7.3469
000000098392.png,1.0,random_crop_0.5,0.406250,0,7.3756,6.1530
000000098392.png,1.0,jpeg_q30,1.000000,1,7.3756,9.8790
000000098520.png,0.5,none,1.000000,1,9.9271,9.9271
000000098520.png,0.5,center_crop_0.5,0.500000,0,9.9271,7.1820
000000098520.png,0.5,center_crop_0.75,0.687500,0,9.9271,7.7227
000000098520.png,0.5,random_crop_0.5,0.562500,0,9.9271,7.8241
000000098520.png,0.5,jpeg_q30,1.000000,1,9.9271,12.9336
000000098520.png,0.6,none,1.000000,1,9.1587,9.1587
000000098520.png,0.6,center_crop_0.5,0.500000,0,9.1587,7.1820
000000098520.png,0.6,center_crop_0.75,0.750000,0,9.1587,7.2578
000000098520.png,0.6,random_crop_0.5,0.500000,0,9.1587,6.4313
000000098520.png,0.6,jpeg_q30,1.000000,1,9.1587,12.1682
000000098520.png,0.7,none,1.000000,1,8.5066,8.5066
000000098520.png,0.7,center_crop_0.5,0.500000,0,8.5066,7.1820
000000098520.png,0.7,center_crop_0.75,0.750000,0,8.5066,7.2578
000000098520.png,0.7,random_crop_0.5,0.593750,0,8.5066,7.4353
000000098520.png,0.7,jpeg_q30,1.000000,1,8.5066,11.5133
000000098520.png,0.8,none,1.000000,1,7.9614,7.9614
000000098520.png,0.8,center_crop_0.5,0.500000,0,7.9614,7.1820
000000098520.png,0.8,center_crop_0.75,0.750000,0,7.9614,7.2578
000000098520.png,0.8,random_crop_0.5,0.687500,0,7.9614,8.4839
000000098520.png,0.8,jpeg_q30,1.000000,1,7.9614,10.9351
000000098520.png,0.9,none,1.000000,1,7.4571,7.4571
000000098520.png,0.9,center_crop_0.5,0.500000,0,7.4571,7.1820
000000098520.png,0.9,center_crop_0.75,0.750000,0,7.4571,7.2578
000000098520.png,0.9,random_crop_0.5,0.500000,0,7.4571,8.2939
000000098520.png,0.9,jpeg_q30,1.000000,1,7.4571,10.4156
000000098520.png,1.0,none,1.000000,1,6.9656,6.9656
000000098520.png,1.0,center_crop_0.5,0.500000,0,6.9656,7.1820
000000098520.png,1.0,center_crop_0.75,0.750000,0,6.9656,7.2578
000000098520.png,1.0,random_crop_0.5,0.562500,0,6.9656,6.1728
