image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000231879.png,center_crop_0.75,multi_scale,1.000000,1,9.9405,8.3327,0.75
000000231879.png,random_crop_0.5,single_scale,0.375000,0,9.9405,7.2970,1.0
000000231879.png,random_crop_0.5,multi_scale,0.625000,0,9.9405,7.2970,0.50
000000231879.png,jpeg_q30,single_scale,1.000000,1,9.9405,12.8764,1.0
000000231879.png,jpeg_q30,multi_scale,1.000000,1,9.9405,12.8764,1.00
000000232088.png,none,single_scale,1.000000,1,9.8715,9.8715,1.0
000000232088.png,none,multi_scale,1.000000,1,9.8715,9.8715,1.00
000000232088.png,center_crop_0.5,single_scale,0.500000,0,9.8715,6.7316,1.0
000000232088.png,center_crop_0.5,multi_scale,1.000000,1,9.8715,6.7316,0.50
000000232088.png,center_crop_0.75,single_scale,0.531250,0,9.8715,8.2719,1.0
000000232088.png,center_crop_0.75,multi_scale,1.000000,1,9.8715,8.2719,0.75
000000232088.png,random_crop_0.5,single_scale,0.500000,0,9.8715,8.0264,1.0
000000232088.png,random_crop_0.5,multi_scale,0.812500,0,9.8715,8.0264,0.50
000000232088.png,jpeg_q30,single_scale,1.000000,1,9.8715,12.9758,1.0
000000232088.png,jpeg_q30,multi_scale,1.000000,1,9.8715,12.9758,1.00
000000232244.png,none,single_scale,1.000000,1,9.9276,9.9276,1.0
000000232244.png,none,multi_scale,1.000000,1,9.9276,9.9276,1.00
000000232244.png,center_crop_0.5,single_scale,0.500000,0,9.9276,7.1686,1.0
000000232244.png,center_crop_0.5,multi_scale,1.000000,1,9.9276,7.1686,0.50
000000232244.png,center_crop_0.75,single_scale,0.531250,0,9.9276,7.8025,1.0
000000232244.png,center_crop_0.75,multi_scale,1.000000,1,9.9276,7.8025,0.75
000000232244.png,random_crop_0.5,single_scale,0.531250,0,9.9276,6.9738,1.0
000000232244.png,random_crop_0.5,multi_scale,0.812500,0,9.9276,6.9738,0.50
000000232244.png,jpeg_q30,single_scale,1.000000,1,9.9276,12.6458,1.0
000000232244.png,jpeg_q30,multi_scale,1.000000,1,9.9276,12.6458,1.00
000000232348.png,none,single_scale,1.000000,1,9.5592,9.5592,1.0
000000232348.png,none,multi_scale,1.000000,1,9.5592,9.5592,1.00
000000232348.png,center_crop_0.5,single_scale,0.500000,0,9.5592,7.1511,1.0
000000232348.png,center_crop_0.5,multi_scale,1.000000,1,9.5592,7.1511,0.50
000000232348.png,center_crop_0.75,single_scale,0.531250,0,9.5592,7.9986,1.0
000000232348.png,center_crop_0.75,multi_scale,1.000000,1,9.5592,7.9986,0.75
000000232348.png,random_crop_0.5,single_scale,0.343750,0,9.5592,7.4489,1.0
000000232348.png,random_crop_0.5,multi_scale,0.750000,0,9.5592,7.4489,0.50
000000232348.png,jpeg_q30,single_scale,1.000000,1,9.5592,12.8354,1.0
000000232348.png,jpeg_q30,multi_scale,1.000000,1,9.5592,12.8354,1.00
000000232489.png,none,single_scale,1.000000,1,10.0207,10.0207,1.0
000000232489.png,none,multi_scale,1.000000,1,10.0207,10.0207,1.00
000000232489.png,center_crop_0.5,single_scale,0.500000,0,10.0207,7.2893,1.0
000000232489.png,center_crop_0.5,multi_scale,1.000000,1,10.0207,7.2893,0.50
000000232489.png,center_crop_0.75,single_scale,0.531250,0,10.0207,8.5498,1.0
000000232489.png,center_crop_0.75,multi_scale,1.000000,1,10.0207,8.5498,0.75
000000232489.png,random_crop_0.5,single_scale,0.500000,0,10.0207,9.6005,1.0
000000232489.png,random_crop_0.5,multi_scale,0.593750,0,10.0207,9.6005,0.50
000000232489.png,jpeg_q30,single_scale,1.000000,1,10.0207,12.9179,1.0
000000232489.png,jpeg_q30,multi_scale,1.000000,1,10.0207,12.9179,1.00
000000232538.png,none,single_scale,1.000000,1,10.2839,10.2839,1.0
000000232538.png,none,multi_scale,1.000000,1,10.2839,10.2839,1.00
000000232538.png,center_crop_0.5,single_scale,0.500000,0,10.2839,7.4722,1.0
000000232538.png,center_crop_0.5,multi_scale,1.000000,1,10.2839,7.4722,0.50
000000232538.png,center_crop_0.75,single_scale,0.593750,0,10.2839,7.9046,1.0
000000232538.png,center_crop_0.75,multi_scale,1.000000,1,10.2839,7.9046,0.75
000000232538.png,random_crop_0.5,single_scale,0.625000,0,10.2839,7.2588,1.0
000000232538.png,random_crop_0.5,multi_scale,0.718750,0,10.2839,7.2588,0.50
000000232538.png,jpeg_q30,single_scale,1.000000,1,10.2839,13.0221,1.0
000000232538.png,jpeg_q30,multi_scale,1.000000,1,10.2839,13.0221,1.00
000000232563.png,none,single_scale,1.000000,1,10.9371,10.9371,1.0
000000232563.png,none,multi_scale,1.000000,1,10.9371,10.9371,1.00
000000232563.png,center_crop_0.5,single_scale,0.500000,0,10.9371,8.3566,1.0
000000232563.png,center_crop_0.5,multi_scale,1.000000,1,10.9371,8.3566,0.50
000000232563.png,center_crop_0.75,single_scale,0.625000,0,10.9371,8.6865,1.0
000000232563.png,center_crop_0.75,multi_scale,1.000000,1,10.9371,8.6865,0.75
000000232563.png,random_crop_0.5,single_scale,0.562500,0,10.9371,8.7095,1.0
000000232563.png,random_crop_0.5,multi_scale,0.562500,0,10.9371,8.7095,1.00
000000232563.png,jpeg_q30,single_scale,1.000000,1,10.9371,12.8646,1.0
000000232563.png,jpeg_q30,multi_scale,1.000000,1,10.9371,12.8646,1.00
000000232646.png,none,single_scale,1.000000,1,9.9734,9.9734,1.0
000000232646.png,none,multi_scale,1.000000,1,9.9734,9.9734,1.00
000000232646.png,center_crop_0.5,single_scale,0.500000,0,9.9734,6.4891,1.0
000000232646.png,center_crop_0.5,multi_scale,1.000000,1,9.9734,6.4891,0.50
000000232646.png,center_crop_0.75,single_scale,0.531250,0,9.9734,7.2907,1.0
000000232646.png,center_crop_0.75,multi_scale,1.000000,1,9.9734,7.2907,0.75
000000232646.png,random_crop_0.5,single_scale,0.468750,0,9.9734,7.2989,1.0
000000232646.png,random_crop_0.5,multi_scale,0.781250,0,9.9734,7.2989,0.50
000000232646.png,jpeg_q30,single_scale,1.000000,1,9.9734,12.9202,1.0
000000232646.png,jpeg_q30,multi_scale,1.000000,1,9.9734,12.9202,1.00
000000232649.png,none,single_scale,1.000000,1,9.9097,9.9097,1.0
000000232649.png,none,multi_scale,1.000000,1,9.9097,9.9097,1.00
000000232649.png,center_crop_0.5,single_scale,0.500000,0,9.9097,7.3491,1.0
000000232649.png,center_crop_0.5,multi_scale,1.000000,1,9.9097,7.3491,0.50
000000232649.png,center_crop_0.75,single_scale,0.531250,0,9.9097,8.2069,1.0
000000232649.png,center_crop_0.75,multi_scale,1.000000,1,9.9097,8.2069,0.75
000000232649.png,random_crop_0.5,single_scale,0.500000,0,9.9097,8.0013,1.0
000000232649.png,random_crop_0.5,multi_scale,0.593750,0,9.9097,8.0013,0.50
000000232649.png,jpeg_q30,single_scale,1.000000,1,9.9097,12.9568,1.0
000000232649.png,jpeg_q30,multi_scale,1.000000,1,9.9097,12.9568,1.00
000000232684.png,none,single_scale,1.000000,1,11.0303,11.0303,1.0
000000232684.png,none,multi_scale,1.000000,1,11.0303,11.0303,1.00
000000232684.png,center_crop_0.5,single_scale,0.500000,0,11.0303,7.2358,1.0
000000232684.png,center_crop_0.5,multi_scale,1.000000,1,11.0303,7.2358,0.50
000000232684.png,center_crop_0.75,single_scale,0.531250,0,11.0303,8.5657,1.0
000000232684.png,center_crop_0.75,multi_scale,1.000000,1,11.0303,8.5657,0.75
000000232684.png,random_crop_0.5,single_scale,0.656250,0,11.0303,6.2096,1.0
000000232684.png,random_crop_0.5,multi_scale,0.718750,0,11.0303,6.2096,0.50
000000232684.png,jpeg_q30,single_scale,1.000000,1,11.0303,12.7197,1.0
000000232684.png,jpeg_q30,multi_scale,1.000000,1,11.0303,12.7197,1.00
000000232692.png,none,single_scale,1.000000,1,10.2564,10.2564,1.0
000000232692.png,none,multi_scale,1.000000,1,10.2564,10.2564,1.00
