scheme,scenario,attack,decode_method,mean_source_accuracy,min_source_accuracy,source_success_rate,mean_mask_pixels,mean_composite_psnr,num_source_rows
single_center50_s2.5,three_sources_crop_feather,none,must_mer_resize,1.000000,1.000000,1.000000,45059.0,40.3176,3
single_center50_s2.5,three_sources_crop_feather,none,oracle_box_raw,1.000000,1.000000,1.000000,44897.3,40.3176,3
single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.000000,0.000000,0.000000,0.0,40.3176,3
single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,must_mer_resize,0.572917,0.500000,0.000000,4168.7,40.3176,3
single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.572917,0.500000,0.000000,4162.3,40.3176,3
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.427083,0.375000,0.000000,72.0,43.3363,3
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,0.291667,0.000000,0.000000,129.0,43.3363,3
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.156250,0.000000,0.000000,59.0,43.3363,3
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0.395833,0.343750,0.000000,3702.0,43.3363,3
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,must_mer_resize,0.302083,0.000000,0.000000,4965.3,43.3363,3
single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.302083,0.000000,0.000000,4695.7,43.3363,3
single_center50_s2.5,three_sources_extreme_downsize,none,global_full_canvas,0.375000,0.281250,0.000000,3472.0,43.3363,3
single_center50_s2.5,three_sources_extreme_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,49147.7,43.3363,3
single_center50_s2.5,three_sources_extreme_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,49025.0,43.3363,3
single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0.375000,0.343750,0.000000,3720.0,43.3363,3
single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,must_mer_resize,0.281250,0.000000,0.000000,26.3,43.3363,3
single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0.156250,0.000000,0.000000,67.3,43.3363,3
single_center50_s2.5,two_sources_downsize,jpeg_q50,global_full_canvas,0.000000,0.000000,0.000000,0.0,43.3405,2
single_center50_s2.5,two_sources_downsize,jpeg_q50,must_mer_resize,0.515625,0.375000,0.000000,1985.0,43.3405,2
single_center50_s2.5,two_sources_downsize,jpeg_q50,oracle_box_raw,0.500000,0.343750,0.000000,1979.5,43.3405,2
single_center50_s2.5,two_sources_downsize,jpeg_q70,global_full_canvas,0.000000,0.000000,0.000000,0.0,43.3405,2
single_center50_s2.5,two_sources_downsize,jpeg_q70,must_mer_resize,0.734375,0.625000,0.000000,14345.0,43.3405,2
single_center50_s2.5,two_sources_downsize,jpeg_q70,oracle_box_raw,0.718750,0.593750,0.000000,15027.0,43.3405,2
single_center50_s2.5,two_sources_downsize,none,global_full_canvas,0.000000,0.000000,0.000000,0.0,43.3405,2
single_center50_s2.5,two_sources_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,33048.5,43.3405,2
single_center50_s2.5,two_sources_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,33178.5,43.3405,2
single_center50_s2.5,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,0.000000,0.000000,0.000000,0.0,43.3405,2
single_center50_s2.5,two_sources_downsize,resize_0.5_jpeg70,must_mer_resize,0.656250,0.656250,0.000000,5659.0,43.3405,2
single_center50_s2.5,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,0.671875,0.656250,0.000000,7658.0,43.3405,2
